"","TARGET_deathRate","incidenceRate","medIncome","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","BirthRate"
"66",204,449.2,33041,23.1,44.2,2.48,53.9,2.353331124
"67",170.4,377.1,32456,25.8,46.3,2.22,53.5,3.812668868
"68",172.2,400.9,40305,16.8,43,2.45,52.3,6.801152738
"69",168.1,528.4,36466,17.1,47.7,2.26,60.5,3.868613139
"70",199.1,468.3,41019,15.8,46.2,2.48,53.5,1.988950276
"71",189.5,453.7,38387,19.7,41.8,2.57,51.5,5.300938708
"72",183.8,433.2,37242,20,42.5,2.47,48.9,4.112005292
"73",259.5,511.9,29331,26.1,46.3,2.28,54.1,4.203539823
"74",202.6,514.6,40013,18.5,46,2.46,51.4,6.161137441
"75",185.8,455.3,38600,20.3,45,2.4,52.2,5.968928863
"76",185.5,488.8,41932,17.2,42.5,2.37,51.1,6.23870268
"77",235.4,447.8,34419,22.8,42.8,2.48,55.7,6.018614271
"78",206,467.9,42063,17.8,51.4,2.47,50.9,3.861129137
"79",217.5,451.5,41294,14.9,42.2,2.29,45.9,6.460336538
"80",168.4,412.1,46375,13.7,43.9,2.35,55.8,5.884312202
"81",171.7,369.9,44395,13.6,50.8,2.16,58.5,5.547054323
"82",158.6,479.1,54141,12,36.8,2.46,51.4,5.921762149
"83",166.4,385.7,50998,10.5,45,2.29,59,7.17472119
"84",190.1,399.2,41810,16.5,50.9,2.08,59,4.96054115
"85",157.9,474.1,68430,5.9,39,2.66,62,4.330985915
"86",160.1,482.4,52485,10.7,40.6,2.44,55.6,5.497771174
"87",157.6,455.2,45316,16,37.1,2.65,58.2,9.86429301
"88",176.6,476.1,59020,8.8,42,2.44,54.9,4.654466449
"89",176.4,466.4,43562,14.7,45.9,2.38,52.3,5.300353357
"90",153.8,430.7,61937,13.4,34.6,2.35,47.5,4.458527742
"91",178.9,437.3,54359,9.9,42,2.51,51.1,4.49736915
"92",158.7,449.3,49717,11,51.7,2.11,62.6,4.481380181
"93",192.8,354.7,46475,13.9,40.6,2.28,47.6,6.150455775
"94",155.6,396.1,52224,13.9,34.1,2.48,47.6,5.116736739
"95",163.4,440.9,48102,14.4,33.8,2.43,46.4,4.346348463
"96",171.9,308.2,44562,12.8,51.1,2.32,59.9,3.462050599
"97",159.4,477,52149,9.9,41,2.4,54.8,4.541733098
"98",166.4,490.6,41418,17,45.3,2.33,52.8,7.250418293
"99",166.9,428.2,46972,15,36.1,2.44,48.6,5.174434328
"100",158.4,420,53328,8.7,42.2,2.47,56.7,5.46031746
